,chart,net_profit,total_closed_trades,percent_profitable,profit_factor,max_drawdown,avg_trade,avg_num_bars_in_trade,,,,price_deviation,take_profit,ttp,base_order,safe_order,safe_order_volume_scale,safe_order_step_scale,max_safe_order,,capital,from_date,to_date
1,3m,0.58%,210,76.67%,3.129,-0.21%,0.00%,139,,,,1%,1.5%,0.2,10,20,1,1,30,,6000,10/02/2021,21/04/2021
2,3m,0.26%,94,77.66%,2.978,-0.11%,0.17%,213,,,,2%,1.5%,0.2,10,20,1,1,30,,6000,10/02/2021,21/04/2021
3,3m,0.26%,99,75.76%,2.837,-0.11%,0.00%,134,,,,2%,1.5%,0,10,20,1,1,30,,6000,10/02/2021,21/04/2021
4,3m,0.32%,101,79.21%,3.354,-0.11%,0.00%,148,,,,2%,1.5%,0.5,10,20,1,1,30,,6000,10/02/2021,21/04/2021
5,3m,0.30%,100,80.00%,3.182,-0.11%,0.00%,147,,,,2%,1.7%,0,10,20,1,1,30,,6000,10/02/2021,21/04/2021
6,3m,0.33%,115,77.39%,3.841,-0.09%,0.00%,149,,,,2%,1.7%,0.1,10,20,1,1,30,,6000,10/02/2021,21/04/2021
7,3m,0.32%,115,77.39%,3.801,-0.09%,0.00%,149,,,,2%,1.7%,0.2,10,20,1,1,30,,6000,10/02/2021,21/04/2021
8,3m,0.32%,101,79.21%,3.354,-0.11%,0.00%,148,,,,2%,1.5%,0.5,10,20,1,1,12,,6000,10/02/2021,21/04/2021
9,3m,0.48%,76,86.84%,3.717,-0.15%,0.01%,345,,,,2%,1.5%,0.5,60,20,1,1,12,,6000,10/02/2021,21/04/2021
10,3m,1.93%,101,79.21%,3.351,-0.65%,1.15%,148,,,,2%,1.5%,0.5,60,120,1,1,12,,6000,10/02/2021,21/04/2021
11,3m,1.89%,103,78.64%,2.732,-0.89%,0.02%,131,,,,2%,1.5%,0.5,60,120,1.05,1,12,,6000,10/02/2021,21/04/2021
12,3m,0.96%,94,80.85%,3.031,-0.35%,0.01%,225,,,,2%,1.5%,0.5,60,60,1,1,12,,6000,10/02/2021,21/04/2021
13,,,,,,,,,,,,,,,,,,,,,6000,10/02/2021,21/04/2021
14,,,,,,,,,,,,,,,,,,,,,6000,10/02/2021,21/04/2021
15,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
-,Trailing take profits is good. 0.5 better than 0.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,000","1,029.00",$1.03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Coverage,1.05,1,1.05,,,,,,,,,,,,,,,,,,,,
SUM,"$1,970","$1,500",$328,"$2,815.20",3.05%,,,,,,,,,,,,,,,,,,
0,60,60,10,"$2,731.83",0.46%,,,,,,,,,,,,,,,,,,
1,120.0,120.0,20.0,2719.3,-0.46%,,,,,,,,,,,,,,,,,,
2,126.0,120.0,21.0,2648.5,-2.61%,,,,,,,,,,,,,,,,,,
3,132.3,120.0,22.1,2565.1,-3.15%,,,,,,,,,,,,,,,,,,
4,138.9,120.0,23.2,2481.7,-3.25%,,,,,,,,,,,,,,,,,,
5,145.9,120.0,24.3,2398.3,-3.36%,,,,,,,,,,,,,,,,,,
6,153.2,120.0,25.5,,,,,,,,,,,,,,,,,,,,
7,160.8,120.0,26.8,,,,,,,,,,,,,,,,,,,,
8,168.9,120.0,28.1,,,,,,,,,,,,,,,,,,,,
9,177.3,120.0,29.5,,,,,,,,,,,,,,,,,,,,
10,186.2,120.0,31.0,,,,,,,,,,,,,,,,,,,,
11,195.5,120.0,32.6,,,,,,,,,,,,,,,,,,,,
12,205.2,120.0,34.2,,,,,,,,,,,,,,,,,,,,
